Year,Status,No.,Internet,Total
2022,Public,1,Unavaiable,7
2022,Private,1,Avaiable,49
2022,Private,1,Unavaiable,27
2022,Public,1,Avaiable,6
2021,Private,1,Avaiable,46
2021,Public,1,Unavaiable,4
2021,Public,1,Avaiable,9
2021,Private,1,Unavaiable,29
2023,Public,1,Unavaiable,0
2023,Private,1,Avaiable,73
2023,Public,1,Avaiable,13
2023,Private,1,Unavaiable,0
2022,Public,2,Avaiable,35
2022,Private,2,Avaiable,244
2022,Private,2,Unavaiable,94
2022,Public,2,Unavaiable,16
2023,Public,2,Avaiable,54
2023,Public,2,Unavaiable,2
2023,Private,2,Avaiable,319
2023,Private,2,Unavaiable,12
2021,Public,2,Unavaiable,11
2021,Public,2,Avaiable,35
2021,Private,2,Avaiable,244
2021,Private,2,Unavaiable,95
2022,Public,3,Unavaiable,3
2022,Public,3,Avaiable,6
2022,Private,3,Avaiable,74
2021,Public,3,Unavaiable,3
2021,Public,3,Avaiable,5
2021,Private,3,Unavaiable,28
2021,Private,3,Avaiable,68
2022,Private,3,Unavaiable,26
2023,Private,3,Unavaiable,5
2023,Public,3,Avaiable,9
2023,Private,3,Avaiable,98
2023,Public,3,Unavaiable,0
2023,Public,4,Unavaiable,0
2023,Public,4,Avaiable,41
2023,Private,4,Avaiable,141
2023,Private,4,Unavaiable,6
2021,Public,4,Unavaiable,15
2021,Private,4,Avaiable,103
2021,Private,4,Unavaiable,47
2021,Public,4,Avaiable,24
2022,Private,4,Avaiable,89
2022,Public,4,Unavaiable,18
2022,Public,4,Avaiable,22
2022,Private,4,Unavaiable,59
2023,Private,5,Avaiable,70
2022,Public,5,Avaiable,7
2021,Private,5,Avaiable,52
2021,Private,5,Unavaiable,18
2021,Public,5,Avaiable,7
2021,Public,5,Unavaiable,2
2023,Private,5,Unavaiable,2
2023,Public,5,Avaiable,9
2023,Public,5,Unavaiable,0
2022,Private,5,Unavaiable,22
2022,Private,5,Avaiable,48
2022,Public,5,Unavaiable,2
2021,Private,6,Avaiable,195
2021,Public,6,Unavaiable,35
2022,Private,6,Unavaiable,126
2021,Private,6,Unavaiable,131
2022,Private,6,Avaiable,199
2022,Public,6,Unavaiable,33
2021,Public,6,Avaiable,37
2022,Public,6,Avaiable,40
2023,Private,6,Unavaiable,14
2023,Private,6,Avaiable,317
2023,Public,6,Unavaiable,2
2023,Public,6,Avaiable,69
2022,Public,7,Avaiable,23
2021,Private,7,Unavaiable,16
2023,Public,7,Avaiable,26
2023,Private,7,Avaiable,29
2023,Private,7,Unavaiable,7
2023,Public,7,Unavaiable,4
2021,Private,7,Avaiable,26
2021,Public,7,Unavaiable,7
2021,Public,7,Avaiable,23
2022,Public,7,Unavaiable,5
2022,Private,7,Avaiable,31
2022,Private,7,Unavaiable,6
2022,Private,8,Unavaiable,10
2022,Public,8,Avaiable,14
2022,Public,8,Unavaiable,15
2022,Private,8,Avaiable,20
2023,Private,8,Unavaiable,5
2023,Public,8,Avaiable,24
2023,Public,8,Unavaiable,5
2023,Private,8,Avaiable,26
2021,Private,8,Unavaiable,9
2021,Public,8,Avaiable,11
2021,Public,8,Unavaiable,18
2021,Private,8,Avaiable,20
2022,Private,9,Unavaiable,47
2023,Private,9,Unavaiable,28
2023,Private,9,Avaiable,118
2022,Public,9,Avaiable,21
2022,Public,9,Unavaiable,8
2022,Private,9,Avaiable,89
2021,Public,9,Unavaiable,7
2021,Private,9,Avaiable,98
2021,Private,9,Unavaiable,28
2021,Public,9,Avaiable,22
2023,Public,9,Unavaiable,4
2023,Public,9,Avaiable,25
2021,Private,10,Unavaiable,10
2022,Public,10,Unavaiable,3
2022,Private,10,Avaiable,24
2022,Private,10,Unavaiable,6
2022,Public,10,Avaiable,14
2023,Public,10,Avaiable,17
2021,Public,10,Unavaiable,3
2023,Public,10,Unavaiable,1
2023,Private,10,Unavaiable,3
2023,Private,10,Avaiable,27
2021,Public,10,Avaiable,14
2021,Private,10,Avaiable,20
2022,Private,11,Unavaiable,4
2022,Public,11,Avaiable,4
2022,Public,11,Unavaiable,6
2022,Private,11,Avaiable,7
2021,Public,11,Unavaiable,6
2021,Private,11,Avaiable,8
2021,Public,11,Avaiable,4
2023,Private,11,Unavaiable,0
2023,Public,11,Unavaiable,1
2023,Public,11,Avaiable,9
2021,Private,11,Unavaiable,2
2023,Private,11,Avaiable,12
2021,Private,12,Unavaiable,3
2023,Private,12,Unavaiable,2
2021,Public,12,Avaiable,9
2023,Private,12,Avaiable,6
2023,Public,12,Unavaiable,3
2023,Public,12,Avaiable,13
2022,Private,12,Unavaiable,3
2022,Public,12,Unavaiable,6
2022,Private,12,Avaiable,3
2021,Private,12,Avaiable,2
2021,Public,12,Unavaiable,4
2022,Public,12,Avaiable,8
2023,Public,13,Avaiable,14
2021,Private,13,Avaiable,12
2023,Public,13,Unavaiable,2
2021,Public,13,Unavaiable,4
2021,Public,13,Avaiable,11
2021,Private,13,Unavaiable,7
2023,Private,13,Avaiable,19
2023,Private,13,Unavaiable,4
2022,Public,13,Unavaiable,6
2022,Private,13,Unavaiable,8
2022,Public,13,Avaiable,10
2022,Private,13,Avaiable,14
2021,Private,14,Unavaiable,2
2022,Public,14,Unavaiable,1
2021,Public,14,Avaiable,6
2022,Private,14,Unavaiable,2
2021,Public,14,Unavaiable,1
2021,Private,14,Avaiable,0
2022,Public,14,Avaiable,6
2023,Public,14,Unavaiable,2
2023,Public,14,Avaiable,5
2023,Private,14,Avaiable,1
2022,Private,14,Avaiable,0
2023,Private,14,Unavaiable,1
2022,Private,15,Unavaiable,1
2022,Public,15,Avaiable,5
2022,Public,15,Unavaiable,10
2022,Private,15,Avaiable,2
2021,Private,15,Unavaiable,0
2021,Public,15,Avaiable,8
2021,Public,15,Unavaiable,6
2021,Private,15,Avaiable,3
2023,Private,15,Unavaiable,0
2023,Public,15,Unavaiable,1
2023,Private,15,Avaiable,3
2023,Public,15,Avaiable,14
2022,Public,16,Avaiable,10
2022,Public,16,Unavaiable,3
2021,Private,16,Avaiable,12
2021,Public,16,Avaiable,8
2021,Private,16,Unavaiable,4
2022,Private,16,Unavaiable,7
2021,Public,16,Unavaiable,5
2022,Private,16,Avaiable,10
2023,Private,16,Avaiable,17
2023,Private,16,Unavaiable,1
2023,Public,16,Avaiable,11
2023,Public,16,Unavaiable,2
2022,Private,17,Unavaiable,3
2021,Private,17,Unavaiable,3
2021,Private,17,Avaiable,6
2022,Public,17,Avaiable,8
2022,Public,17,Unavaiable,6
2022,Private,17,Avaiable,6
2023,Private,17,Avaiable,8
2023,Public,17,Unavaiable,3
2023,Public,17,Avaiable,12
2021,Public,17,Unavaiable,7
2021,Public,17,Avaiable,7
2023,Private,17,Unavaiable,3
2022,Private,18,Avaiable,2
2022,Private,18,Unavaiable,2
2022,Public,18,Avaiable,14
2022,Public,18,Unavaiable,7
2021,Private,18,Unavaiable,1
2023,Public,18,Unavaiable,3
2023,Private,18,Avaiable,5
2023,Public,18,Avaiable,17
2021,Public,18,Unavaiable,9
2021,Private,18,Avaiable,4
2021,Public,18,Avaiable,10
2023,Private,18,Unavaiable,0
2022,Private,19,Unavaiable,0
2022,Public,19,Unavaiable,3
2022,Public,19,Avaiable,18
2022,Private,19,Avaiable,4
2023,Private,19,Unavaiable,0
2021,Private,19,Unavaiable,2
2023,Public,19,Unavaiable,0
2023,Private,19,Avaiable,4
2021,Public,19,Avaiable,12
2023,Public,19,Avaiable,22
2021,Private,19,Avaiable,2
2021,Public,19,Unavaiable,9
2022,Private,20,Unavaiable,4
2023,Public,20,Unavaiable,3
2023,Public,20,Avaiable,8
2021,Private,20,Unavaiable,6
2022,Public,20,Avaiable,7
2021,Private,20,Avaiable,20
2021,Public,20,Avaiable,6
2021,Public,20,Unavaiable,5
2022,Public,20,Unavaiable,4
2023,Private,20,Avaiable,23
2023,Private,20,Unavaiable,1
2022,Private,20,Avaiable,19
2021,Public,21,Avaiable,3
2022,Public,21,Unavaiable,3
2023,Private,21,Unavaiable,1
2023,Private,21,Avaiable,0
2023,Public,21,Unavaiable,0
2023,Public,21,Avaiable,6
2021,Public,21,Unavaiable,2
2021,Private,21,Avaiable,0
2021,Private,21,Unavaiable,0
2022,Private,21,Unavaiable,0
2022,Private,21,Avaiable,0
2022,Public,21,Avaiable,2
2021,Public,22,Avaiable,4
2023,Private,22,Unavaiable,3
2023,Private,22,Avaiable,26
2021,Private,22,Unavaiable,11
2021,Private,22,Avaiable,15
2021,Public,22,Unavaiable,2
2022,Public,22,Avaiable,3
2022,Public,22,Unavaiable,3
2022,Private,22,Unavaiable,12
2022,Private,22,Avaiable,16
2023,Public,22,Unavaiable,2
2023,Public,22,Avaiable,4
2021,Private,23,Unavaiable,0
2021,Private,23,Avaiable,0
2023,Public,23,Unavaiable,1
2023,Public,23,Avaiable,7
2023,Private,23,Unavaiable,0
2023,Private,23,Avaiable,0
2022,Public,23,Unavaiable,4
2022,Public,23,Avaiable,4
2022,Private,23,Unavaiable,0
2022,Private,23,Avaiable,0
2021,Public,23,Avaiable,6
2021,Public,23,Unavaiable,2
2022,Private,24,Avaiable,11
2022,Public,24,Unavaiable,9
2023,Private,24,Unavaiable,1
2023,Private,24,Avaiable,16
2022,Private,24,Unavaiable,6
2023,Public,24,Unavaiable,3
2023,Public,24,Avaiable,13
2021,Private,24,Avaiable,8
2021,Private,24,Unavaiable,6
2022,Public,24,Avaiable,7
2021,Public,24,Avaiable,7
2021,Public,24,Unavaiable,9
2023,Private,25,Unavaiable,16
2023,Public,25,Avaiable,22
2023,Private,25,Avaiable,55
2023,Public,25,Unavaiable,1
2021,Public,25,Avaiable,15
2021,Public,25,Unavaiable,8
2022,Public,25,Avaiable,14
2022,Private,25,Unavaiable,23
2022,Private,25,Avaiable,45
2022,Public,25,Unavaiable,9
2021,Private,25,Unavaiable,20
2021,Private,25,Avaiable,43
2022,Public,26,Unavaiable,5
2022,Public,26,Avaiable,8
2021,Public,26,Avaiable,4
2021,Private,26,Avaiable,8
2021,Public,26,Unavaiable,9
2023,Private,26,Unavaiable,3
2022,Private,26,Unavaiable,2
2021,Private,26,Unavaiable,4
2023,Private,26,Avaiable,9
2022,Private,26,Avaiable,10
2023,Public,26,Avaiable,10
2023,Public,26,Unavaiable,3
2021,Private,27,Unavaiable,35
2023,Public,27,Avaiable,11
2021,Private,27,Avaiable,26
2021,Public,27,Avaiable,7
2021,Public,27,Unavaiable,10
2022,Public,27,Avaiable,9
2022,Public,27,Unavaiable,8
2022,Private,27,Avaiable,32
2023,Private,27,Unavaiable,15
2022,Private,27,Unavaiable,30
2023,Public,27,Unavaiable,6
2023,Private,27,Avaiable,50
2021,Public,28,Avaiable,2
2021,Private,28,Avaiable,4
2021,Public,28,Unavaiable,7
2022,Private,28,Avaiable,3
2022,Public,28,Unavaiable,8
2022,Private,28,Unavaiable,2
2021,Private,28,Unavaiable,1
2023,Private,28,Unavaiable,0
2023,Public,28,Unavaiable,0
2022,Public,28,Avaiable,3
2023,Private,28,Avaiable,5
2023,Public,28,Avaiable,11
2022,Public,29,Unavaiable,8
2022,Private,29,Unavaiable,2
2022,Private,29,Avaiable,3
2021,Public,29,Avaiable,13
2021,Public,29,Unavaiable,3
2022,Public,29,Avaiable,9
2023,Private,29,Avaiable,3
2023,Public,29,Unavaiable,5
2023,Private,29,Unavaiable,5
2021,Private,29,Unavaiable,1
2021,Private,29,Avaiable,3
2023,Public,29,Avaiable,12
2022,Public,30,Avaiable,6
2021,Public,30,Avaiable,7
2023,Private,30,Unavaiable,0
2023,Public,30,Avaiable,12
2023,Public,30,Unavaiable,0
2023,Private,30,Avaiable,2
2022,Public,30,Unavaiable,6
2021,Public,30,Unavaiable,5
2021,Private,30,Avaiable,2
2021,Private,30,Unavaiable,0
2022,Private,30,Unavaiable,1
2022,Private,30,Avaiable,1
2021,Public,31,Unavaiable,4
2021,Public,31,Avaiable,14
2021,Private,31,Unavaiable,13
2021,Private,31,Avaiable,19
2023,Public,31,Avaiable,17
2023,Private,31,Unavaiable,6
2023,Private,31,Avaiable,28
2023,Public,31,Unavaiable,2
2022,Public,31,Unavaiable,6
2022,Private,31,Unavaiable,10
2022,Public,31,Avaiable,12
2022,Private,31,Avaiable,22
2022,Public,32,Avaiable,23
2021,Public,32,Avaiable,23
2021,Private,32,Unavaiable,3
2021,Private,32,Avaiable,8
2022,Private,32,Unavaiable,2
2022,Private,32,Avaiable,9
2021,Public,32,Unavaiable,7
2023,Private,32,Unavaiable,3
2023,Public,32,Unavaiable,11
2023,Public,32,Avaiable,24
2023,Private,32,Avaiable,8
2022,Public,32,Unavaiable,9
2022,Public,33,Unavaiable,3
2021,Public,33,Unavaiable,3
2021,Private,33,Avaiable,1
2021,Private,33,Unavaiable,2
2021,Public,33,Avaiable,4
2023,Public,33,Unavaiable,1
2023,Public,33,Avaiable,4
2022,Private,33,Avaiable,2
2023,Private,33,Avaiable,1
2022,Public,33,Avaiable,4
2022,Private,33,Unavaiable,2
2023,Private,33,Unavaiable,1
2021,Private,34,Unavaiable,0
2021,Public,34,Unavaiable,2
2021,Public,34,Avaiable,2
2021,Private,34,Avaiable,1
2023,Private,34,Avaiable,1
2023,Private,34,Unavaiable,1
2023,Public,34,Avaiable,0
2023,Private,34,Unavaiable,0
2023,Public,34,Avaiable,1
2023,Public,34,Unavaiable,0
2023,Public,34,Avaiable,4
2023,Public,34,Unavaiable,0
2023,Private,34,Avaiable,0
2023,Public,34,Unavaiable,0
2023,Private,34,Avaiable,0
2023,Private,34,Unavaiable,0
2022,Public,34,Unavaiable,2
2022,Public,34,Avaiable,2
2023,Public,34,Avaiable,0
2023,Private,34,Unavaiable,0
2022,Private,34,Unavaiable,0
2022,Private,34,Avaiable,1
2023,Public,34,Avaiable,1
2023,Public,34,Unavaiable,0
2023,Private,34,Avaiable,0
2023,Public,34,Unavaiable,0
2023,Private,34,Avaiable,1
2023,Private,34,Unavaiable,0
