School,Year,Province,Public School,Private School,Cililian Teacher,Private Teacher,Public Students,Private Students
SD,2021/2022,Aceh,3335,178,45034,2416,454603,34228
SD,2021/2022,Sumatera Utara,8262,1528,88517,18477,1247205,339903
SD,2021/2022,Sumatera Barat,3981,264,41711,3961,548253,60673
SD,2021/2022,Riau,3210,544,42579,8176,643438,134413
SD,2021/2022,Jambi,2316,148,25007,2034,339955,31969
SD,2021/2022,Sumatera Selatan,4262,423,53105,5418,812885,83285
SD,2021/2022,Bengkulu,1304,93,14053,1564,179930,19348
SD,2021/2022,Lampung,4337,394,50155,5155,736382,77533
SD,2021/2022,Kepulauan Bangka Belitung,760,66,8520,975,147951,15743
SD,2021/2022,Kepulauan Riau,683,285,9331,4446,155760,70691
SD,2021/2022,DKI Jakarta,1447,921,24218,15607,558320,224134
SD,2021/2022,Jawa Barat,17424,2215,175714,33972,3903979,549000
SD,2021/2022,Jawa Tengah,17547,1237,154616,17568,2378205,305510
SD,2021/2022,DI Yogyakarta,1425,422,14710,5653,195795,84163
SD,2021/2022,Jawa Timur,17105,1952,161859,24764,2258842,392950
SD,2021/2022,Banten,3912,718,44782,11465,993246,186646
SD,2021/2022,Bali,2274,143,23059,2513,348481,39105
SD,2021/2022,Nusa Tenggara Barat,3012,257,37229,2538,477686,33825
SD,2021/2022,Nusa Tenggara Timur,3365,1819,34638,17646,427555,255407
SD,2021/2022,Kalimantan Barat,4132,286,34837,3169,512806,59158
SD,2021/2022,Kalimantan Tengah,2416,223,22784,2438,234534,41980
SD,2021/2022,Kalimantan Selatan,2769,169,27522,2350,332296,33661
SD,2021/2022,Kalimantan Timur,1650,251,22323,3546,347886,63435
SD,2021/2022,Kalimantan Utara,435,46,5503,575,69898,8959
SD,2021/2022,Sulawesi Utara,1361,854,12103,6158,131692,82847
SD,2021/2022,Sulawesi Tengah,2671,243,24330,2135,281699,24711
SD,2021/2022,Sulawesi Selatan,6087,321,64879,4395,817052,64431
SD,2021/2022,Sulawesi Tenggara,2255,77,23564,765,280749,11264
SD,2021/2022,Gorontalo,896,30,8016,265,105713,3788
SD,2021/2022,Sulawesi Barat,1297,28,12872,251,140669,3971
SD,2021/2022,Maluku,1273,531,13057,4275,149799,59529
SD,2021/2022,Maluku Utara,1106,204,9831,1522,117453,22603
SD,2021/2022,Papua BaratBarat,686,402,5696,3121,82623,47994
SD,2021/2022,Papua,1629,967,11747,7257,276662,174897
SD,2021/2022,Indonesia,130624,18239,1347901,226570,20690002,3641754
SD,2022/2023,Aceh,3336,193,45823,2718,451027,35931
SD,2022/2023,Sumatera Utara,8205,1577,91137,18448,1204565,344087
SD,2022/2023,Sumatera Barat,3962,298,42372,4461,531193,66025
SD,2022/2023,Riau,3221,570,42764,8614,634909,138617
SD,2022/2023,Jambi,2308,155,24989,2172,335196,33498
SD,2022/2023,Sumatera Selatan,4252,444,54232,5629,796801,85733
SD,2022/2023,Bengkulu,1290,108,14351,1684,173543,20838
SD,2022/2023,Lampung,4314,418,52422,5289,719438,80181
SD,2022/2023,Kepulauan Bangka Belitung,760,72,8672,1006,146317,16405
SD,2022/2023,Kepulauan Riau,684,289,9483,4550,154066,71509
SD,2022/2023,DKI Jakarta,1308,931,24794,15550,546713,218377
SD,2022/2023,Jawa Barat,17302,2357,177306,35543,3883339,567595
SD,2022/2023,Jawa Tengah,17472,1288,156270,17401,2322013,309161
SD,2022/2023,DI Yogyakarta,1423,425,14788,5667,190728,83710
SD,2022/2023,Jawa Timur,16980,2027,161954,24844,2184504,395409
SD,2022/2023,Banten,3895,739,45266,11621,996698,189185
SD,2022/2023,Bali,2265,151,23162,2557,343632,39232
SD,2022/2023,Nusa Tenggara Barat,3011,298,39286,2873,472110,37359
SD,2022/2023,Nusa Tenggara Timur,3378,1825,36362,17923,417555,251670
SD,2022/2023,Kalimantan Barat,4139,299,36209,3331,504176,61472
SD,2022/2023,Kalimantan Tengah,2412,236,22934,2551,232282,42758
SD,2022/2023,Kalimantan Selatan,2740,175,27785,2397,323293,33626
SD,2022/2023,Kalimantan Timur,1652,267,22416,3696,346884,65345
SD,2022/2023,Kalimantan Utara,437,48,5489,606,69072,9457
SD,2022/2023,Sulawesi Utara,1344,859,12705,6090,132584,82653
SD,2022/2023,Sulawesi Tengah,2670,256,25032,2143,281651,26071
SD,2022/2023,Sulawesi Selatan,6082,356,65702,4702,811242,68935
SD,2022/2023,Sulawesi Tenggara,2257,88,24705,862,279295,12428
SD,2022/2023,Gorontalo,896,32,8108,284,103914,4228
SD,2022/2023,Sulawesi Barat,1297,29,13487,268,139578,4415
SD,2022/2023,Maluku,1276,536,13498,4471,148988,59008
SD,2022/2023,Maluku Utara,1110,205,10439,1598,117634,22930
SD,2022/2023,Papua BaratBarat,700,404,6705,3086,82955,48216
SD,2022/2023,Papua,1664,978,12610,7617,288283,184269
SD,2022/2023,Indonesia,130042,18933,1373257,232252,20366178,3710333
SD,2023/2024,Aceh,3335,197,46800,2752,451761,38102
SD,2023/2024,Sumatera Utara,8167,1584,92997,18881,1177930,346551
SD,2023/2024,Sumatera Barat,3892,314,43297,4789,521822,70543
SD,2023/2024,Riau,3230,585,43539,8985,633978,142596
SD,2023/2024,Jambi,2304,160,25356,2224,333373,35247
SD,2023/2024,Sumatera Selatan,4249,470,55364,5866,792830,89181
SD,2023/2024,Bengkulu,1289,118,15053,1809,172400,22470
SD,2023/2024,Lampung,4297,429,51980,5537,715542,83350
SD,2023/2024,Kepulauan Bangka Belitung,761,72,8747,1028,144910,16793
SD,2023/2024,Kepulauan Riau,683,299,9641,4791,154046,73203
SD,2023/2024,DKI Jakarta,1305,919,23977,15417,540938,215517
SD,2023/2024,Jawa Barat,17104,2449,177301,36958,3891806,595456
SD,2023/2024,Jawa Tengah,17298,1320,152542,17330,2280299,314751
SD,2023/2024,DI Yogyakarta,1422,424,14530,5567,186752,83858
SD,2023/2024,Jawa Timur,16902,2078,158554,24861,2130520,400329
SD,2023/2024,Banten,3853,757,46259,12100,1009060,194372
SD,2023/2024,Bali,2254,155,22807,2636,342112,41504
SD,2023/2024,Nusa Tenggara Barat,3008,322,40903,3030,472151,40469
SD,2023/2024,Nusa Tenggara Timur,3396,1829,38295,17082,414756,248551
SD,2023/2024,Kalimantan Barat,4140,307,36576,3539,499855,63323
SD,2023/2024,Kalimantan Tengah,2414,236,23254,2631,232325,44096
SD,2023/2024,Kalimantan Selatan,2738,182,27695,2444,318461,34713
SD,2023/2024,Kalimantan Timur,1657,272,22621,3795,351594,67878
SD,2023/2024,Kalimantan Utara,437,48,5580,637,69906,9971
SD,2023/2024,Sulawesi Utara,1347,862,13936,5789,135222,83601
SD,2023/2024,Sulawesi Tengah,2675,269,26240,2190,284498,27854
SD,2023/2024,Sulawesi Selatan,6070,364,65654,4992,809775,73378
SD,2023/2024,Sulawesi Tenggara,2256,91,26646,916,280639,13531
SD,2023/2024,Gorontalo,897,34,8291,323,103429,4629
SD,2023/2024,Sulawesi Barat,1297,32,13795,318,138490,4810
SD,2023/2024,Maluku,1277,538,14256,4115,148862,58122
SD,2023/2024,Maluku Utara,1111,206,11324,1363,118277,22861
SD,2023/2024,Papua BaratBarat,406,163,4014,1414,48434,23303
SD,2023/2024,Papua BaratBarat Daya,302,245,3505,1688,35284,24943
SD,2023/2024,Papua,487,344,4745,2898,67324,49512
SD,2023/2024,Papua BaratSelatan,372,234,2792,1678,56014,38962
SD,2023/2024,Papua BaratTengah,291,262,2890,2238,70019,73033
SD,2023/2024,Papua BaratPegunungan,513,152,3050,1044,109443,30722
SD,2023/2024,Indonesia,129436,19322,1384806,235655,20244837,3802085
SMA,2021/2022,Aceh,395,134,11995,1652,112307,17922
SMA,2021/2022,Sumatera Utara,427,639,15064,7806,246573,138313
SMA,2021/2022,Sumatera Barat,236,95,9829,1388,137426,13988
SMA,2021/2022,Riau,303,144,9650,1893,142397,22574
SMA,2021/2022,Jambi,161,74,5121,712,68504,9078
SMA,2021/2022,Sumatera Selatan,329,270,10996,3202,163305,46870
SMA,2021/2022,Bengkulu,109,34,3738,285,49702,2467
SMA,2021/2022,Lampung,238,274,8117,3049,121056,39038
SMA,2021/2022,Kepulauan Bangka Belitung,45,25,1394,298,25447,3966
SMA,2021/2022,Kepulauan Riau,93,59,2699,653,44499,7759
SMA,2021/2022,DKI Jakarta,117,372,4970,6188,91776,89807
SMA,2021/2022,Jawa Barat,512,1155,22324,15697,486621,277009
SMA,2021/2022,Jawa Tengah,360,488,17407,7481,330165,99521
SMA,2021/2022,DI Yogyakarta,69,100,2654,1621,42315,16240
SMA,2021/2022,Jawa Timur,423,1098,18926,13959,340730,196521
SMA,2021/2022,Banten,152,424,6319,4950,135170,76025
SMA,2021/2022,Bali,83,75,4194,1218,74671,16264
SMA,2021/2022,Nusa Tenggara Barat,154,179,6754,2093,91365,20023
SMA,2021/2022,Nusa Tenggara Timur,370,210,10486,4212,141300,62333
SMA,2021/2022,Kalimantan Barat,267,181,5410,2003,100510,30684
SMA,2021/2022,Kalimantan Tengah,181,60,4253,651,54893,5741
SMA,2021/2022,Kalimantan Selatan,141,61,4094,695,59912,7002
SMA,2021/2022,Kalimantan Timur,142,86,3941,963,65859,12905
SMA,2021/2022,Kalimantan Utara,44,22,1103,240,14828,2834
SMA,2021/2022,Sulawesi Utara,121,108,3567,1108,48789,14069
SMA,2021/2022,Sulawesi Tengah,175,52,4576,600,73134,6386
SMA,2021/2022,Sulawesi Selatan,335,260,12451,2653,193797,35918
SMA,2021/2022,Sulawesi Tenggara,245,60,6313,521,89174,5293
SMA,2021/2022,Gorontalo,61,8,1815,108,30186,1367
SMA,2021/2022,Sulawesi Barat,76,12,2078,69,28047,1139
SMA,2021/2022,Maluku,209,73,4908,1201,58221,11982
SMA,2021/2022,Maluku Utara,139,76,2731,739,34275,8204
SMA,2021/2022,Papua BaratBarat,81,48,1483,692,22377,6990
SMA,2021/2022,Papua,141,105,3043,1519,49288,20492
SMA,2021/2022,Indonesia,6934,7061,234403,92119,3768619,1326724
SMA,2022/2023,Aceh,394,141,12195,1677,112810,18461
SMA,2022/2023,Sumatera Utara,428,647,15908,8224,245383,139560
SMA,2022/2023,Sumatera Barat,236,101,9834,1430,137874,14054
SMA,2022/2023,Riau,303,152,10018,2052,143617,23073
SMA,2022/2023,Jambi,162,77,5364,787,69152,9293
SMA,2022/2023,Sumatera Selatan,329,283,11845,3374,165349,47065
SMA,2022/2023,Bengkulu,109,37,3885,317,49781,2832
SMA,2022/2023,Lampung,239,280,8312,3236,123644,41107
SMA,2022/2023,Kepulauan Bangka Belitung,47,24,1463,299,26033,3963
SMA,2022/2023,Kepulauan Riau,93,70,2829,712,46609,7825
SMA,2022/2023,DKI Jakarta,117,375,5142,6631,90825,99062
SMA,2022/2023,Jawa Barat,514,1197,25473,16678,508679,284248
SMA,2022/2023,Jawa Tengah,361,493,18467,7717,335227,103302
SMA,2022/2023,DI Yogyakarta,69,104,2671,1757,42808,17232
SMA,2022/2023,Jawa Timur,423,1095,19683,14628,343552,194163
SMA,2022/2023,Banten,161,442,6764,5695,139369,78017
SMA,2022/2023,Bali,88,75,4554,1162,79732,14293
SMA,2022/2023,Nusa Tenggara Barat,150,193,7274,2113,90179,20036
SMA,2022/2023,Nusa Tenggara Timur,386,212,11699,4716,143294,60944
SMA,2022/2023,Kalimantan Barat,273,186,6077,2043,100690,29550
SMA,2022/2023,Kalimantan Tengah,181,61,4463,661,54913,6201
SMA,2022/2023,Kalimantan Selatan,142,63,4279,754,59613,6852
SMA,2022/2023,Kalimantan Timur,143,90,4147,1048,66986,13234
SMA,2022/2023,Kalimantan Utara,44,23,1150,265,15292,2923
SMA,2022/2023,Sulawesi Utara,121,109,3738,1093,48938,13798
SMA,2022/2023,Sulawesi Tengah,176,56,5144,619,72724,6543
SMA,2022/2023,Sulawesi Selatan,335,264,12973,2971,193752,35623
SMA,2022/2023,Sulawesi Tenggara,249,64,7272,572,88905,5297
SMA,2022/2023,Gorontalo,61,9,1958,127,29992,1270
SMA,2022/2023,Sulawesi Barat,77,14,2288,103,27994,1154
SMA,2022/2023,Maluku,211,73,5357,1300,57923,11619
SMA,2022/2023,Maluku Utara,139,78,2844,785,34566,8539
SMA,2022/2023,Papua BaratBarat,82,49,1643,735,23003,6917
SMA,2022/2023,Papua,144,112,3376,1607,50184,21133
SMA,2022/2023,Indonesia,6987,7249,250089,97888,3819392,1349183
SMA,2023/2024,Aceh,394,145,12463,1593,118487,19170
SMA,2023/2024,Sumatera Utara,432,635,16265,8137,248734,141165
SMA,2023/2024,Sumatera Barat,236,102,9800,1340,138979,14556
SMA,2023/2024,Riau,313,154,10280,2093,148011,24284
SMA,2023/2024,Jambi,163,84,5327,804,71000,10429
SMA,2023/2024,Sumatera Selatan,330,283,12180,3276,171193,48921
SMA,2023/2024,Bengkulu,109,42,3936,351,51685,3009
SMA,2023/2024,Lampung,239,288,8363,3342,128161,44657
SMA,2023/2024,Kepulauan Bangka Belitung,47,27,1493,335,27129,4325
SMA,2023/2024,Kepulauan Riau,93,75,3004,778,49014,8261
SMA,2023/2024,DKI Jakarta,117,379,5184,6859,88181,103924
SMA,2023/2024,Jawa Barat,514,1254,25780,17476,530509,293262
SMA,2023/2024,Jawa Tengah,362,499,18389,7746,343035,109919
SMA,2023/2024,DI Yogyakarta,69,104,2642,1701,43387,17744
SMA,2023/2024,Jawa Timur,423,1094,19970,14841,351429,197252
SMA,2023/2024,Banten,161,446,6630,6107,144431,80877
SMA,2023/2024,Bali,90,73,4759,1095,81893,13792
SMA,2023/2024,Nusa Tenggara Barat,150,215,7551,2183,96571,20349
SMA,2023/2024,Nusa Tenggara Timur,393,218,12626,4667,145341,61698
SMA,2023/2024,Kalimantan Barat,285,187,6590,2011,102734,29833
SMA,2023/2024,Kalimantan Tengah,181,64,4462,686,56103,6568
SMA,2023/2024,Kalimantan Selatan,142,65,4296,740,60883,7281
SMA,2023/2024,Kalimantan Timur,145,92,4290,1105,68792,13541
SMA,2023/2024,Kalimantan Utara,46,22,1205,252,16080,2806
SMA,2023/2024,Sulawesi Utara,121,108,3754,1035,50115,13452
SMA,2023/2024,Sulawesi Tengah,176,58,5077,606,73086,6780
SMA,2023/2024,Sulawesi Selatan,337,270,13382,2785,193254,36763
SMA,2023/2024,Sulawesi Tenggara,251,64,7969,566,89328,5209
SMA,2023/2024,Gorontalo,62,9,1950,123,30376,1270
SMA,2023/2024,Sulawesi Barat,77,15,2373,91,28370,1295
SMA,2023/2024,Maluku,215,73,5485,1236,57822,11768
SMA,2023/2024,Maluku Utara,139,85,3201,744,35868,8941
SMA,2023/2024,Papua BaratBarat,43,21,954,331,13327,3554
SMA,2023/2024,Papua BaratBarat Daya,43,29,972,390,10660,3600
SMA,2023/2024,Papua,57,56,1467,843,22167,11102
SMA,2023/2024,Papua BaratSelatan,22,15,709,214,9966,2918
